City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
313,Nichinan,JP,59.0,few clouds,31.65,131.31,ホテル ジェイズ 日南リゾート
314,Paita,PE,68.0,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
318,Elko,US,53.6,broken clouds,40.83,-115.76,Best Western Elko Inn
322,Umm Lajj,SA,71.76,few clouds,25.02,37.27,Tanal Hotel Apartment
323,Billings,US,51.8,scattered clouds,45.79,-108.5,Best Western Plus Clocktower Inn
332,Ellisras,ZA,68.95,clear sky,-23.67,27.74,Lapa le le guesthouse
335,Ahipara,NZ,63.09,clear sky,-35.17,173.16,Ahipara Holiday Park
336,Trelew,AR,66.45,few clouds,-43.25,-65.31,Hotel Touring Club
340,Tupancireta,BR,56.28,clear sky,-29.08,-53.84,Hotel Cassino
343,Cudahy,US,66.99,clear sky,33.96,-118.19,Embassy Suites by Hilton Los Angeles Downey
344,San Felipe,CL,57.51,clear sky,-32.75,-70.73,Hostel San Felipe
346,Luxor,EG,66.2,broken clouds,25.7,32.65,Iberotel Luxor
357,Bouca,CF,71.65,overcast clouds,6.51,18.28,
362,Garowe,SO,71.26,clear sky,8.41,48.48,Curubo Hotel
366,Niteroi,BR,68.0,clear sky,-29.95,-51.16,Hotel Metropolitan
374,Palmer,AU,66.99,broken clouds,-34.85,139.16,Palmer Hotel
380,Nome,US,52.0,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
381,Aberdeen,US,53.6,overcast clouds,46.98,-123.82,GuestHouse Aberdeen
385,Matara,BI,58.3,overcast clouds,-3.48,29.48,
386,Richards Bay,ZA,70.05,clear sky,-28.77,32.06,Imvubu Lodge
392,Keti Bandar,PK,71.42,clear sky,24.14,67.45,Haji laloo memon house
394,Resistencia,AR,73.4,clear sky,-27.45,-58.99,Niyat Urban Hotel
395,Nchelenge,ZM,70.65,overcast clouds,-9.35,28.74,Kalusha Lytton Home [RICH-KK]
396,Senaki,GE,55.4,clear sky,42.27,42.06,Oscar Hotel
399,Mae Sai,MM,73.0,few clouds,20.44,99.89,Piyaporn Hill Paradise Hotel
401,Rio Grande,BR,62.01,few clouds,-32.03,-52.1,Swan Express Rio Grande
404,San Francisco Del Mar,MX,72.73,clear sky,16.34,-94.51,Hotel San Francisco
405,Naze,NG,74.46,overcast clouds,5.43,7.07,Oxygen Holiday Resort
406,Passo De Camaragibe,BR,73.4,few clouds,-9.24,-35.49,Pousada Divino Milagre
408,Aguimes,ES,64.0,broken clouds,27.91,-15.45,Avenida De Canarias
418,Ciudad Del Maiz,MX,57.99,broken clouds,22.4,-99.6,Hotel Casona del General
426,Ramnagar,IN,74.57,overcast clouds,27.17,84.33,Vipul electronic main road Naraina our Ramnager
430,Sola,TZ,66.06,overcast clouds,-3.17,33.8,Peace Hotel
433,Mangan,IN,59.22,clear sky,27.5,88.54,Munlom Nature Resort
436,Taizhou,CN,75.0,broken clouds,32.48,119.91,泰州国际金陵大酒店
437,Viedma,AR,64.11,broken clouds,-40.81,-62.99,Hotel casa crespo
452,Dutlwe,BW,69.01,clear sky,-23.98,23.93,
