City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
117,Punta Alta,AR,2019-11-16 01:31:36,-27.46,-55.82,71.6,46,0,5.82,clear sky,0.0,0.0
118,Leticia,CO,2019-11-16 01:31:36,-4.21,-69.94,73.4,100,75,1.95,broken clouds,0.0,0.0
119,Iset,RU,2019-11-16 01:31:36,53.85,105.98,0.5,69,100,7.43,overcast clouds,0.0,0.0
120,Fort Walton Beach,US,2019-11-16 01:31:36,30.41,-86.62,55.0,71,90,20.8,overcast clouds,0.0,0.0
121,Sakaiminato,JP,2019-11-16 01:31:37,35.55,133.23,59.0,82,75,3.36,light intensity shower rain,0.0,0.0
122,Vostok,RU,2019-11-16 01:31:37,46.45,135.83,4.26,69,100,17.63,light snow,0.0,0.13
123,Norman Wells,CA,2019-11-16 01:31:37,65.28,-126.83,-4.0,76,90,17.22,light snow,0.0,0.0
124,Cabo San Lucas,MX,2019-11-16 01:30:03,22.89,-109.91,78.01,73,5,2.1,clear sky,0.0,0.0
125,Chokurdakh,RU,2019-11-16 01:31:38,70.62,147.9,-4.2,98,94,4.83,light snow,0.0,0.13
126,Saint George,GR,2019-11-16 01:31:38,39.45,22.34,54.84,74,95,1.07,overcast clouds,0.0,0.0
127,Avarua,CK,2019-11-16 01:31:38,-21.21,-159.78,80.6,78,2,13.87,light rain,2.75,0.0
128,Esperance,AU,2019-11-16 01:31:39,-33.86,121.89,69.8,52,0,13.87,clear sky,0.0,0.0
129,Necochea,AR,2019-11-16 01:31:39,-38.55,-58.74,71.01,78,92,14.0,overcast clouds,0.0,0.0
130,Ixtapa,MX,2019-11-16 01:31:39,20.71,-105.21,82.4,74,90,4.7,overcast clouds,0.0,0.0
131,Kavaratti,IN,2019-11-16 01:31:39,10.57,72.64,82.22,76,100,10.47,overcast clouds,0.0,0.0
132,George Town,MY,2019-11-16 01:31:39,5.42,100.33,80.6,88,75,3.36,broken clouds,0.0,0.0
133,Vao,EE,2019-11-16 01:31:40,59.1,26.19,37.4,96,100,5.93,light rain,0.5,0.0
134,Te Anau,NZ,2019-11-16 01:31:40,-45.41,167.72,47.03,79,80,9.19,light rain,2.13,0.0
135,Talnakh,RU,2019-11-16 01:31:40,69.49,88.39,-9.4,76,0,4.47,clear sky,0.0,0.0
136,Qaanaaq,GL,2019-11-16 01:31:41,77.48,-69.36,5.85,77,100,14.99,overcast clouds,0.0,0.0
137,Rodrigues Alves,BR,2019-11-16 01:31:41,-7.74,-72.65,72.9,98,100,3.04,overcast clouds,0.0,0.0
138,Port Alfred,ZA,2019-11-16 01:31:41,-33.59,26.89,62.01,95,0,8.66,clear sky,0.0,0.0
139,Chuy,UY,2019-11-16 01:31:41,-33.69,-53.46,57.16,90,0,1.86,clear sky,0.0,0.0
140,Kahului,US,2019-11-16 01:31:08,20.89,-156.47,86.0,62,40,10.29,scattered clouds,0.0,0.0
141,Ranong,TH,2019-11-16 01:31:42,9.96,98.62,80.6,88,40,3.36,scattered clouds,0.0,0.0
142,Arraial Do Cabo,BR,2019-11-16 01:31:42,-22.97,-42.02,72.05,88,100,18.07,overcast clouds,0.0,0.0
143,Lebu,ET,2019-11-16 01:31:42,8.96,38.73,55.4,71,40,2.24,scattered clouds,0.0,0.0
144,Nurota,UZ,2019-11-16 01:31:42,40.56,65.69,33.8,64,100,2.24,overcast clouds,0.0,0.0
145,Tautira,PF,2019-11-16 01:31:43,-17.73,-149.15,84.2,66,40,11.41,scattered clouds,0.0,0.0
146,Maua,KE,2019-11-16 01:31:43,0.23,37.94,67.6,84,73,4.16,broken clouds,0.0,0.0
147,Maraa,BR,2019-11-16 01:31:43,-1.83,-65.37,74.25,93,99,2.3,overcast clouds,0.0,0.0
148,Bethel,US,2019-11-16 01:31:43,60.79,-161.76,15.8,72,1,23.04,clear sky,0.0,0.0
149,Caravelas,BR,2019-11-16 01:31:44,-17.73,-39.27,73.26,94,100,4.03,moderate rain,7.06,0.0
